Name,Region,Street Address,City,Postal Code,Phone Number,Website,Scraped Page
CHSLD de Malartic,Abitibi-Témiscamingue,"987, rue des Pins",Malartic,J0Y 1Z0,819- 825-5858,https://www.cisss-at.gouv.qc.ca/,https://www.indexsante.ca/chsld/abitibi-temiscamingue/20/chsld-de-malartic.php
CHSLD de Macamic,Abitibi-Témiscamingue,"169, 7e avenue Est",Macamic,J0Z 2S0,819-782-4661,https://www.cisss-at.gouv.qc.ca/,https://www.indexsante.ca/chsld/abitibi-temiscamingue/2256/chsld-de-macamic.php
CHSLD de Val-d'Or,Abitibi-Témiscamingue,"1212, avenue Brébeuf",Val-d'Or,J9P 2C9,819- 825-5858,https://www.cisss-at.gouv.qc.ca/,https://www.indexsante.ca/chsld/abitibi-temiscamingue/28/chsld-de-val-d-or.php
CHSLD de La Sarre,Abitibi-Témiscamingue,"22, 1e avenue Est",La Sarre,J9Z 1C4,819- 333-5525,https://www.cisss-at.gouv.qc.ca/,https://www.indexsante.ca/chsld/abitibi-temiscamingue/126/chsld-de-la-sarre.php
CHSLD de Palmarolle,Abitibi-Témiscamingue,"136, rue Principale",Palmarolle,J0Z 3C0,819- 787-2612,https://www.cisss-at.gouv.qc.ca/,https://www.indexsante.ca/chsld/abitibi-temiscamingue/22/chsld-de-palmarolle.php
CHSLD Saint-Joseph,Saguenay - Lac-Saint-Jean,"1893, rue Alexis-Simard",La Baie,G7B 2K9,418-544-3381,,https://www.indexsante.ca/chsld/saguenay-lac-saint-jean/14/chsld-saint-joseph.php
CHSLD de Rimouski,Bas-Saint-Laurent,"645, boul. Saint-Germain",Rimouski,G5L 3S2,418-724-4111,,https://www.indexsante.ca/chsld/bas-saint-laurent/7/chsld-rimouski.php
CHSLD de Matane,Bas-Saint-Laurent,"150, avenue Saint-Jérôme",Matane,G4W 3A2,418-562-4154,,https://www.indexsante.ca/chsld/bas-saint-laurent/8/chsld-de-matane.php
CHSLD de la Mitis,Bas-Saint-Laurent,"800, avenue Sanatorium",Mont-Joli,G5H 3L6,418- 775-7261,http://cisss-bsl.gouv.qc.ca/,https://www.indexsante.ca/chsld/bas-saint-laurent/6/chsld-de-la-mitis.php
CHSLD Sainte-Monique,Capitale-Nationale,"4805, boul. Hamel",Québec,G1P 2J7,418-871-8701,http://www.chsld-ste-monique.com/,https://www.indexsante.ca/chsld/capitale-nationale/4055/hopital-sainte-monique-chsld.php
